0	0	0.00017
0	10	0.00032
0	20	0.00035
0	30	0.00039
0	40	0.00042
0	50	0.00044
0	60	0.00046
0	70	0.00049
0	80	0.00049
0	90	0.00051
0	100	0.00047
0	110	0.00048
0	120	0.00047
0	130	0.00046
0	140	0.00045
0	150	0.00044
0	160	0.00042
0	170	0.0004
0	180	0.00038
0	190	0.00034
0	200	0.00031
10	0	0.00028
10	10	0.00046
10	20	0.00053
10	30	0.00063
10	40	0.00069
10	50	0.00075
10	60	0.00078
10	70	0.00082
10	80	0.00084
10	90	0.00088
10	100	0.00083
10	110	0.00084
10	120	0.00082
10	130	0.00081
10	140	0.00078
10	150	0.00075
10	160	0.0007
10	170	0.00063
10	180	0.00055
10	190	0.00048
10	200	0.00041
20	0	0.00047
20	10	0.00114
20	20	0.0019
20	30	0.00265
20	40	0.00312
20	50	0.00347
20	60	0.00355
20	70	0.00369
20	80	0.00372
20	90	0.00385
20	100	0.00386
20	110	0.00385
20	120	0.00378
20	130	0.00378
20	140	0.00366
20	150	0.00355
20	160	0.00316
20	170	0.00256
20	180	0.00173
20	190	0.00093
20	200	0.00057
30	0	0.0013
30	10	0.00333
30	20	0.00529
30	30	0.00717
30	40	0.00869
30	50	0.00996
30	60	0.01057
30	70	0.0109
30	80	0.01098
30	90	0.01119
30	100	0.01128
30	110	0.01124
30	120	0.01114
30	130	0.01106
30	140	0.0107
30	150	0.00988
30	160	0.00851
30	170	0.00684
30	180	0.00482
30	190	0.00269
30	200	0.00109
40	0	0.00247
40	10	0.0054
40	20	0.00823
40	30	0.01109
40	40	0.0136
40	50	0.01566
40	60	0.01693
40	70	0.01751
40	80	0.01766
40	90	0.01784
40	100	0.01807
40	110	0.01798
40	120	0.01786
40	130	0.01768
40	140	0.01695
40	150	0.01545
40	160	0.0132
40	170	0.0105
40	180	0.00755
40	190	0.0047
40	200	0.00219
50	0	0.00348
50	10	0.00716
50	20	0.01036
50	30	0.01353
50	40	0.01637
50	50	0.01847
50	60	0.01927
50	70	0.01955
50	80	0.01972
50	90	0.01983
50	100	0.0201
50	110	0.01997
50	120	0.01984
50	130	0.0197
50	140	0.0194
50	150	0.01823
50	160	0.01584
50	170	0.01287
50	180	0.00964
50	190	0.00643
50	200	0.00324
60	0	0.00428
60	10	0.0087
60	20	0.01222
60	30	0.01549
60	40	0.01817
60	50	0.01936
60	60	0.01968
60	70	0.01987
60	80	0.02006
60	90	0.02016
60	100	0.02042
60	110	0.02029
60	120	0.02017
60	130	0.02002
60	140	0.01984
60	150	0.01941
60	160	0.01773
60	170	0.01485
60	180	0.01144
60	190	0.0079
60	200	0.00408
70	0	0.00483
70	10	0.00993
70	20	0.01369
70	30	0.01696
70	40	0.01902
70	50	0.01934
70	60	0.01986
70	70	0.02004
70	80	0.02019
70	90	0.02032
70	100	0.0206
70	110	0.02048
70	120	0.02035
70	130	0.02021
70	140	0.02003
70	150	0.01976
70	160	0.01892
70	170	0.01634
70	180	0.01292
70	190	0.00909
70	200	0.00466
80	0	0.00516
80	10	0.0108
80	20	0.01474
80	30	0.01788
80	40	0.01941
80	50	0.01975
80	60	0.01997
80	70	0.02017
80	80	0.02031
80	90	0.02043
80	100	0.02068
80	110	0.02056
80	120	0.02047
80	130	0.02032
80	140	0.0199
80	150	0.01981
80	160	0.01944
80	170	0.01734
80	180	0.01395
80	190	0.00994
80	200	0.00498
90	0	0.00529
90	10	0.01132
90	20	0.01533
90	30	0.01835
90	40	0.01951
90	50	0.01981
90	60	0.02002
90	70	0.02024
90	80	0.02038
90	90	0.02051
90	100	0.02073
90	110	0.02062
90	120	0.02051
90	130	0.02038
90	140	0.0202
90	150	0.01999
90	160	0.01963
90	170	0.01788
90	180	0.01453
90	190	0.01046
90	200	0.00514
100	0	0.00547
100	10	0.01171
100	20	0.01577
100	30	0.01882
100	40	0.01989
100	50	0.02022
100	60	0.02046
100	70	0.02054
100	80	0.02062
100	90	0.02071
100	100	0.02077
100	110	0.02066
100	120	0.02056
100	130	0.02046
100	140	0.0203
100	150	0.02013
100	160	0.01983
100	170	0.01828
100	180	0.01505
100	190	0.01108
100	200	0.00567
110	0	0.00539
110	10	0.01141
110	20	0.0154
110	30	0.01852
110	40	0.01977
110	50	0.02007
110	60	0.02029
110	70	0.02043
110	80	0.02052
110	90	0.02062
110	100	0.02064
110	110	0.02056
110	120	0.02047
110	130	0.02035
110	140	0.02017
110	150	0.01998
110	160	0.01964
110	170	0.01794
110	180	0.01472
110	190	0.01081
110	200	0.00567
120	0	0.00519
120	10	0.01076
120	20	0.01464
120	30	0.01784
120	40	0.01959
120	50	0.01993
120	60	0.02014
120	70	0.02032
120	80	0.02043
120	90	0.02053
120	100	0.02057
120	110	0.02047
120	120	0.02035
120	130	0.02025
120	140	0.02007
120	150	0.01984
120	160	0.01938
120	170	0.01723
120	180	0.01397
120	190	0.01014
120	200	0.0054
130	0	0.00482
130	10	0.00972
130	20	0.01344
130	30	0.01672
130	40	0.01907
130	50	0.01975
130	60	0.02
130	70	0.02017
130	80	0.0203
130	90	0.02042
130	100	0.02044
130	110	0.02032
130	120	0.02024
130	130	0.02011
130	140	0.01992
130	150	0.01962
130	160	0.01868
130	170	0.01608
130	180	0.01278
130	190	0.00915
130	200	0.00495
140	0	0.00422
140	10	0.00839
140	20	0.01183
140	30	0.01506
140	40	0.01781
140	50	0.01938
140	60	0.01978
140	70	0.01999
140	80	0.02012
140	90	0.02024
140	100	0.0203
140	110	0.02016
140	120	0.02005
140	130	0.01989
140	140	0.01962
140	150	0.01914
140	160	0.01729
140	170	0.01447
140	180	0.01124
140	190	0.00784
140	200	0.00427
150	0	0.00338
150	10	0.00678
150	20	0.00989
150	30	0.01299
150	40	0.01582
150	50	0.01802
150	60	0.01925
150	70	0.01961
150	80	0.01984
150	90	0.02
150	100	0.02003
150	110	0.01989
150	120	0.01973
150	130	0.01946
150	140	0.01901
150	150	0.01761
150	160	0.0153
150	170	0.01245
150	180	0.00935
150	190	0.00628
150	200	0.00337
160	0	0.00242
160	10	0.00502
160	20	0.00776
160	30	0.01057
160	40	0.01329
160	50	0.01565
160	60	0.01751
160	70	0.01872
160	80	0.01912
160	90	0.01936
160	100	0.01942
160	110	0.01924
160	120	0.01899
160	130	0.0185
160	140	0.01716
160	150	0.01522
160	160	0.01283
160	170	0.01009
160	180	0.00728
160	190	0.00461
160	200	0.00235
170	0	0.0015
170	10	0.00328
170	20	0.00554
170	30	0.00801
170	40	0.01046
170	50	0.01271
170	60	0.01463
170	70	0.01607
170	80	0.01709
170	90	0.01766
170	100	0.01789
170	110	0.01758
170	120	0.01693
170	130	0.01585
170	140	0.0143
170	150	0.01234
170	160	0.01006
170	170	0.00759
170	180	0.00515
170	190	0.00296
170	200	0.00147
180	0	0.00093
180	10	0.00183
180	20	0.00345
180	30	0.00544
180	40	0.00753
180	50	0.00947
180	60	0.01119
180	70	0.01254
